"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 13:22:40 GMT 2025","Wed Feb 19 13:22:49 GMT 2025","8890","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Wed Feb 19 13:22:04 GMT 2025","Wed Feb 19 13:22:13 GMT 2025","9297","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
"passed","Wed Feb 19 13:22:31 GMT 2025","Wed Feb 19 13:22:40 GMT 2025","8692","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Wed Feb 19 13:22:22 GMT 2025","Wed Feb 19 13:22:31 GMT 2025","9180","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","read","The test for getting the value from the field",""
"passed","Wed Feb 19 13:21:42 GMT 2025","Wed Feb 19 13:21:54 GMT 2025","11825","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Wed Feb 19 13:21:54 GMT 2025","Wed Feb 19 13:22:04 GMT 2025","9520","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","drillDown","The DrillDown test","DrillDown is not available for InfoWidget."
"passed","Wed Feb 19 13:22:13 GMT 2025","Wed Feb 19 13:22:22 GMT 2025","9399","","Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
