"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 25 16:40:21 GMT 2025","Tue Mar 25 16:40:41 GMT 2025","20101","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","","application.Samples.Form.DateTimeWithSecondsOnFormTest","required","Required Message text Verification field test","The test clears the field and clicks the Save button. Then validates the message that the field is required"
"passed","Tue Mar 25 13:56:22 GMT 2025","Tue Mar 25 13:56:34 GMT 2025","12239","","Form. Checking the basic functions for the InlinePickList in the widget Form","","application.Samples.Form.InlinePickListOnFormTest","readonly","A test to check the field for ""Read-only""","The test checks for the disabled attribute"
"passed","Tue Mar 25 14:13:51 GMT 2025","Tue Mar 25 14:14:02 GMT 2025","10724","","Form. Checking the basic functions for the MultiValue in the widget Form","","application.Samples.Form.MultiValueOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"passed","Tue Mar 25 13:47:29 GMT 2025","Tue Mar 25 13:47:39 GMT 2025","9840","","Form. Checking the basic functions for the Date in the widget Form","","application.Samples.Form.DateOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"failed","Tue Mar 25 17:03:20 GMT 2025","Tue Mar 25 17:03:43 GMT 2025","22586","","Form. Checking the basic functions for the Percent in the widget Form","","application.Samples.Form.PercentOnFormTest","nullable","Auto-completion test after cleaning","The test deletes the value by checking the autocomplete in a blank field"
"failed","Tue Mar 25 16:41:41 GMT 2025","Tue Mar 25 16:42:01 GMT 2025","19983","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","","application.Samples.Form.DateTimeWithSecondsOnFormTest","fieldLevelValidationAnnotation","Required Message validation test for one field","The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"passed","Tue Mar 25 14:53:26 GMT 2025","Tue Mar 25 14:53:37 GMT 2025","10698","","Info. Checking the basic functions for the MultiValue","","application.Samples.Info.MultiValueOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder.."
"passed","Tue Mar 25 14:12:40 GMT 2025","Tue Mar 25 14:12:50 GMT 2025","10241","","Form. Checking the basic functions for the NumberDigits in the widget Form","","application.Samples.Form.NumberDigitsOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"passed","Tue Mar 25 14:52:31 GMT 2025","Tue Mar 25 14:52:41 GMT 2025","10602","","Info. Checking the basic functions for the MultiValue","","application.Samples.Info.MultiValueOnInfoTest","drillDown","The DrillDown test","Drill Down is not available for InfoWidget."
"passed","Tue Mar 25 13:56:10 GMT 2025","Tue Mar 25 13:56:22 GMT 2025","11931","","Form. Checking the basic functions for the InlinePickList in the widget Form","","application.Samples.Form.InlinePickListOnFormTest","filtration","Filtering test","Filtering is not available for the Form widget"
"passed","Tue Mar 25 14:35:59 GMT 2025","Tue Mar 25 14:36:10 GMT 2025","10955","","Info. Checking the basic functions for the PickList","","application.Samples.Info.PickListOnInfoTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"failed","Tue Mar 25 17:18:20 GMT 2025","Tue Mar 25 17:18:41 GMT 2025","21031","","Form. Checking the basic functions for the MultiValue in the widget Form","","application.Samples.Form.MultiValueOnFormTest","test_once","A test for setting a single value in a field","The test sets one value in the field, then checks the list with the expected value."
"passed","Tue Mar 25 13:39:21 GMT 2025","Tue Mar 25 13:39:32 GMT 2025","11139","","Form. Checking the basic functions for the Money in the widget Form","","application.Samples.Form.MoneyOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"passed","Tue Mar 25 14:46:10 GMT 2025","Tue Mar 25 14:46:22 GMT 2025","11798","","Info. Checking the basic functions for the Text","","application.Samples.Info.TextOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Tue Mar 25 14:36:10 GMT 2025","Tue Mar 25 14:36:20 GMT 2025","10142","","Info. Checking the basic functions for the PickList","","application.Samples.Info.PickListOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Tue Mar 25 14:52:19 GMT 2025","Tue Mar 25 14:52:31 GMT 2025","11223","","Info. Checking the basic functions for the MultiValue","","application.Samples.Info.MultiValueOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 14:49:13 GMT 2025","Tue Mar 25 14:49:24 GMT 2025","11632","","Info. Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
"passed","Tue Mar 25 14:38:16 GMT 2025","Tue Mar 25 14:38:27 GMT 2025","11132","","Info. Checking the basic functions for the MultiplySelect","","application.Samples.Info.MultipleSelectOnInfoTest","read","The test for getting the value from the field",""
"passed","Tue Mar 25 13:45:58 GMT 2025","Tue Mar 25 13:46:10 GMT 2025","11815","","Form. Checking the basic functions for the Percent in the widget Form","","application.Samples.Form.PercentOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 14:03:37 GMT 2025","Tue Mar 25 14:03:48 GMT 2025","10143","","Form. Checking the basic functions for the FileUpload in the widget Form","","application.Samples.Form.FileUploadOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"failed","Tue Mar 25 17:06:45 GMT 2025","Tue Mar 25 17:06:58 GMT 2025","12395","","Form. Checking the basic functions for the InlinePickList in the widget Form","","application.Samples.Form.InlinePickListOnFormTest","placeholder","Test for getting the Placeholder value","The test gets the value from the placeholder attribute and returns it in String format"
"passed","Tue Mar 25 14:24:26 GMT 2025","Tue Mar 25 14:24:38 GMT 2025","12047","","Form. Checking the basic functions for the CheckBox","","application.Samples.Form.CheckBoxOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"passed","Tue Mar 25 14:24:38 GMT 2025","Tue Mar 25 14:24:49 GMT 2025","11678","","Form. Checking the basic functions for the CheckBox","","application.Samples.Form.CheckBoxOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"failed","Tue Mar 25 16:53:00 GMT 2025","Tue Mar 25 16:53:19 GMT 2025","19948","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","businessException","Business Exception Validation Test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:33:12 GMT 2025","Tue Mar 25 14:33:22 GMT 2025","9565","","Info. Checking the basic functions for the Hint","","application.Samples.Info.HintOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"failed","Tue Mar 25 16:48:30 GMT 2025","Tue Mar 25 16:48:52 GMT 2025","22482","","Form. Checking the basic functions for the Dictionary in the widget Form","","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidation","Required Message validation test for multiple fields","The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"passed","Tue Mar 25 14:43:42 GMT 2025","Tue Mar 25 14:43:56 GMT 2025","13432","","Info. Checking the basic functions for the Dictionary","","application.Samples.Info.DictionaryOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
"failed","Tue Mar 25 17:08:29 GMT 2025","Tue Mar 25 17:08:51 GMT 2025","22076","","Form. Checking the basic functions for the Radio in the widget Form","","application.Samples.Form.RadioOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:58:03 GMT 2025","Tue Mar 25 16:58:24 GMT 2025","21533","","Form. Checking the basic functions for the FileUpload in the widget Form","","application.Samples.Form.FileUploadOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 13:39:51 GMT 2025","Tue Mar 25 13:40:02 GMT 2025","10438","","Form. Checking the basic functions for the Money in the widget Form","","application.Samples.Form.MoneyOnFormTest","readonly","A test to check the field for ""Read-only""","The test checks for the disabled attribute"
"passed","Tue Mar 25 14:37:30 GMT 2025","Tue Mar 25 14:37:42 GMT 2025","11825","","Info. Checking the basic functions for the MultiplySelect","","application.Samples.Info.MultipleSelectOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"failed","Tue Mar 25 17:16:33 GMT 2025","Tue Mar 25 17:16:55 GMT 2025","21794","","Form. Checking the basic functions for the MultiValue in the widget Form","","application.Samples.Form.MultiValueOnFormTest","edit","A test for setting a value in a field","The test sets the value in the field, and then checks the value in the field with what should be set."
"failed","Tue Mar 25 16:50:01 GMT 2025","Tue Mar 25 16:50:23 GMT 2025","22465","","Form. Checking the basic functions for the Dictionary in the widget Form","","application.Samples.Form.DictionaryOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:41:48 GMT 2025","Tue Mar 25 14:41:59 GMT 2025","11035","","Info. Checking the basic functions for the MultiValueHover","","application.Samples.Info.MultiValueHoverOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 13:34:06 GMT 2025","Tue Mar 25 13:34:20 GMT 2025","13354","","Form. Checking the basic functions for the Dictionary in the widget Form","","application.Samples.Form.DictionaryOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"passed","Tue Mar 25 14:48:48 GMT 2025","Tue Mar 25 14:49:01 GMT 2025","12800","","Info. Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 15:35:13 GMT 2025","Tue Mar 25 15:35:25 GMT 2025","11898","","Form. Checking the basic functions for the MultipleSelect in the widget Form","","application.Samples.Form.MultipleSelectOnFormTest","fieldLevelValidation","Required Message validation test for multiple fields","The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"passed","Tue Mar 25 13:49:51 GMT 2025","Tue Mar 25 13:50:01 GMT 2025","9423","","Form. Checking the basic functions for the Date in the widget Form","","application.Samples.Form.DateOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 14:41:08 GMT 2025","Tue Mar 25 14:41:18 GMT 2025","9800","","Info. Checking the basic functions for the DateTime","","application.Samples.Info.DateTimeOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"passed","Tue Mar 25 14:52:52 GMT 2025","Tue Mar 25 14:53:03 GMT 2025","10749","","Info. Checking the basic functions for the MultiValue","","application.Samples.Info.MultiValueOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"passed","Tue Mar 25 14:16:58 GMT 2025","Tue Mar 25 14:17:10 GMT 2025","11930","","Form. Checking the basic functions for the MultiValue in the widget Form","","application.Samples.Form.MultiValueOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"failed","Tue Mar 25 16:51:58 GMT 2025","Tue Mar 25 16:52:19 GMT 2025","21018","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","edit","A test for setting a value in a field","The test sets the value in the field, and then checks the value in the field with what should be set"
"failed","Tue Mar 25 16:36:16 GMT 2025","Tue Mar 25 16:36:36 GMT 2025","19662","","Form. Checking the basic functions for the DateTime in the widget Form","","application.Samples.Form.DateTimeOnFormTest","required","Required Message text Verification field test","The test clears the field and clicks the Save button. Then validates the message that the field is required"
"failed","Tue Mar 25 17:02:45 GMT 2025","Tue Mar 25 17:03:07 GMT 2025","22881","","Form. Checking the basic functions for the Percent in the widget Form","","application.Samples.Form.PercentOnFormTest","edit","A test for setting a value in a field","The test sets the value in the field, and then checks the value in the field with what should be set"
"failed","Tue Mar 25 17:15:48 GMT 2025","Tue Mar 25 17:16:11 GMT 2025","22486","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","runtimeException","Run-time exception validation test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:52:07 GMT 2025","Tue Mar 25 14:52:19 GMT 2025","12398","","Info. Checking the basic functions for the MultiField","","application.Samples.Info.MultiFieldOnInfoTest","read","The test for getting the value from the field",""
"passed","Tue Mar 25 14:38:27 GMT 2025","Tue Mar 25 14:38:38 GMT 2025","11340","","Info. Checking the basic functions for the MultiplySelect","","application.Samples.Info.MultipleSelectOnInfoTest","color","A test to get the field color value in Hex format","InfoWidget does not have a Hex field color for this type."
"failed","Tue Mar 25 17:09:35 GMT 2025","Tue Mar 25 17:09:58 GMT 2025","22964","","Form. Checking the basic functions for the Radio in the widget Form","","application.Samples.Form.RadioOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 14:39:55 GMT 2025","Tue Mar 25 14:40:05 GMT 2025","10114","","Info. Checking the basic functions for the FileUp","","application.Samples.Info.FileUploadOnInfoTest","color","A test to get the field color value in Hex format","InfoWidget does not have a Hex field color for this type."
"passed","Tue Mar 25 14:28:36 GMT 2025","Tue Mar 25 14:28:46 GMT 2025","9800","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","readonly","A test to check the field for ""Read-only""","The test checks for the disabled attribute"
"passed","Tue Mar 25 14:31:30 GMT 2025","Tue Mar 25 14:31:40 GMT 2025","9612","","Info. Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 14:12:50 GMT 2025","Tue Mar 25 14:13:01 GMT 2025","10165","","Form. Checking the basic functions for the NumberDigits in the widget Form","","application.Samples.Form.NumberDigitsOnFormTest","filtration","Filtering test","Filtering is not available for the Form widget"
"passed","Tue Mar 25 14:46:22 GMT 2025","Tue Mar 25 14:46:33 GMT 2025","10751","","Info. Checking the basic functions for the Date","","application.Samples.Info.DateOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 13:29:05 GMT 2025","Tue Mar 25 13:29:17 GMT 2025","12181","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 13:23:32 GMT 2025","Tue Mar 25 13:23:42 GMT 2025","10346","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","","application.Samples.Form.DateTimeWithSecondsOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"passed","Tue Mar 25 14:42:10 GMT 2025","Tue Mar 25 14:42:21 GMT 2025","10964","","Info. Checking the basic functions for the MultiValueHover","","application.Samples.Info.MultiValueHoverOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
"failed","Tue Mar 25 16:38:06 GMT 2025","Tue Mar 25 16:38:28 GMT 2025","21500","","Form. Checking the basic functions for the CheckBox","","application.Samples.Form.CheckBoxOnFormTest","required","Required Message text Verification field test","The test clears the field and clicks the Save button. Then validates the message that the field is required"
"failed","Tue Mar 25 16:38:28 GMT 2025","Tue Mar 25 16:38:50 GMT 2025","21949","","Form. Checking the basic functions for the CheckBox","","application.Samples.Form.CheckBoxOnFormTest","businessException","Business Exception Validation Test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:37:20 GMT 2025","Tue Mar 25 14:37:30 GMT 2025","10028","","Info. Checking the basic functions for the DateTimeWithSeconds","","application.Samples.Info.DateTimeWithSecondsOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Tue Mar 25 14:45:59 GMT 2025","Tue Mar 25 14:46:10 GMT 2025","11006","","Info. Checking the basic functions for the Text","","application.Samples.Info.TextOnInfoTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 13:27:00 GMT 2025","Tue Mar 25 13:27:12 GMT 2025","11990","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"passed","Tue Mar 25 14:47:12 GMT 2025","Tue Mar 25 14:47:23 GMT 2025","10772","","Info. Checking the basic functions for the Date","","application.Samples.Info.DateOnInfoTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 17:14:41 GMT 2025","Tue Mar 25 17:14:54 GMT 2025","12550","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","fieldLevelValidationAnnotation","Required Message validation test for one field","The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"passed","Tue Mar 25 14:53:57 GMT 2025","Tue Mar 25 14:54:07 GMT 2025","9855","","Info. Checking the basic functions for the Number","","application.Samples.Info.NumberOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
"passed","Tue Mar 25 14:47:02 GMT 2025","Tue Mar 25 14:47:12 GMT 2025","10464","","Info. Checking the basic functions for the Date","","application.Samples.Info.DateOnInfoTest","read","The test for getting the value from the field",""
"failed","Tue Mar 25 17:13:15 GMT 2025","Tue Mar 25 17:13:37 GMT 2025","21620","","Form. Checking the basic functions for the MultipleSelect in the widget Form","","application.Samples.Form.MultipleSelectOnFormTest","setValue","Value setting test with field clearing","The test adds a value after removing all previous values."
"failed","Tue Mar 25 16:59:05 GMT 2025","Tue Mar 25 16:59:28 GMT 2025","23345","","Info. Checking the basic functions for the Dictionary","","application.Samples.Info.DictionaryOnInfoTest","read","The test for getting the value from the field",""
"passed","Tue Mar 25 14:09:08 GMT 2025","Tue Mar 25 14:09:18 GMT 2025","10148","","Form. Checking the basic functions for the PickList in the widget Form","","application.Samples.Form.PickListOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"failed","Tue Mar 25 16:46:36 GMT 2025","Tue Mar 25 16:46:57 GMT 2025","20947","","Form. Checking the basic functions for the Date in the widget Form","","application.Samples.Form.DateOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:39:38 GMT 2025","Tue Mar 25 16:40:01 GMT 2025","23229","","Form. Checking the basic functions for the CheckBox","","application.Samples.Form.CheckBoxOnFormTest","runtimeException","Run-time exception validation test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:45:36 GMT 2025","Tue Mar 25 16:45:56 GMT 2025","20263","","Form. Checking the basic functions for the Date in the widget Form","","application.Samples.Form.DateOnFormTest","businessException","Business Exception Validation Test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:36:55 GMT 2025","Tue Mar 25 16:37:15 GMT 2025","19495","","Form. Checking the basic functions for the DateTime in the widget Form","","application.Samples.Form.DateTimeOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:52:19 GMT 2025","Tue Mar 25 16:52:39 GMT 2025","20379","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:19:53 GMT 2025","Tue Mar 25 14:20:04 GMT 2025","11087","","Form. Checking the basic functions for the MultipleSelect in the widget Form","","application.Samples.Form.MultipleSelectOnFormTest","filtration","Filtering test","Filtering is not available for the Form widget"
"failed","Tue Mar 25 16:51:06 GMT 2025","Tue Mar 25 16:51:17 GMT 2025","10380","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","placeholder","Test for getting the Placeholder value","The test gets the value from the placeholder attribute and returns it in String format"
"passed","Tue Mar 25 13:44:15 GMT 2025","Tue Mar 25 13:44:28 GMT 2025","12846","","Form. Checking the basic functions for the Percent in the widget Form","","application.Samples.Form.PercentOnFormTest","readonly","A test to check the field for ""Read-only""","The test checks for the disabled attribute"
"failed","Tue Mar 25 16:57:42 GMT 2025","Tue Mar 25 16:58:03 GMT 2025","21264","","Form. Checking the basic functions for the FileUpload in the widget Form","","application.Samples.Form.FileUploadOnFormTest","businessException","Business Exception Validation Test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:28:05 GMT 2025","Tue Mar 25 14:28:16 GMT 2025","10969","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"failed","Tue Mar 25 16:57:00 GMT 2025","Tue Mar 25 16:57:21 GMT 2025","20476","","Form. Checking the basic functions for the FileUpload in the widget Form","","application.Samples.Form.FileUploadOnFormTest","compare","A test to compare the downloaded file with the template","The test checks the downloaded file with the template file that is contained in the resources"
"passed","Tue Mar 25 13:38:35 GMT 2025","Tue Mar 25 13:38:47 GMT 2025","11331","","Form. Checking the basic functions for the MultiValueHover in the widget Form","","application.Samples.Form.MultiValueHoverOnFormTest","readonly","A test to check the field for ""Read-only""","The Hint field type is always read-only"
"passed","Tue Mar 25 16:30:27 GMT 2025","Tue Mar 25 16:30:40 GMT 2025","12871","","Form. Checking the basic functions for the MultiValue in the widget Form","","application.Samples.Form.MultiValueOnFormTest","confirm","Confirmation Popup Validation Test","The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated."
"failed","Tue Mar 25 17:15:16 GMT 2025","Tue Mar 25 17:15:37 GMT 2025","21365","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","required","Required Message text Verification field test","The test clears the field and clicks the Save button. Then validates the message that the field is required"
"passed","Tue Mar 25 14:32:44 GMT 2025","Tue Mar 25 14:32:53 GMT 2025","8901","","Info. Checking the basic functions for the Hint","","application.Samples.Info.HintOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 14:48:04 GMT 2025","Tue Mar 25 14:48:14 GMT 2025","10284","","Info. Checking the basic functions for the Money","","application.Samples.Info.MoneyOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"failed","Tue Mar 25 16:51:17 GMT 2025","Tue Mar 25 16:51:37 GMT 2025","20417","","Form. Checking the basic functions for the Number in the widget Form","","application.Samples.Form.NumberOnFormTest","required","Required Message text Verification field test","The test clears the field and clicks the Save button. Then validates the message that the field is required"
"passed","Tue Mar 25 14:34:52 GMT 2025","Tue Mar 25 14:35:04 GMT 2025","12364","","Info. Checking the basic functions for the Radio","","application.Samples.Info.RadioOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Tue Mar 25 13:26:47 GMT 2025","Tue Mar 25 13:27:00 GMT 2025","12942","","Form. Checking the basic functions for the Text in the widget Form","","application.Samples.Form.TextOnFormTest","sorting","Sorting test","Sorting is not available for the Form widget"
"passed","Tue Mar 25 13:32:45 GMT 2025","Tue Mar 25 13:32:55 GMT 2025","9659","","Form. Checking the basic functions for the DateTime in the widget Form","","application.Samples.Form.DateTimeOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 14:46:52 GMT 2025","Tue Mar 25 14:47:02 GMT 2025","10268","","Info. Checking the basic functions for the Date","","application.Samples.Info.DateOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"passed","Tue Mar 25 14:00:32 GMT 2025","Tue Mar 25 14:00:40 GMT 2025","8417","","Form. Checking the basic functions for the Input in the widget Form","","application.Samples.Form.InputOnFormTest","filtration","Filtering test","Filtering is not available for the Form widget"
"passed","Tue Mar 25 14:33:31 GMT 2025","Tue Mar 25 14:33:40 GMT 2025","9037","","Info. Checking the basic functions for the Hint","","application.Samples.Info.HintOnInfoTest","color","A test to get the field color value in Hex format","InfoWidget does not have a Hex field color for this type."
"passed","Tue Mar 25 13:47:39 GMT 2025","Tue Mar 25 13:47:48 GMT 2025","9129","","Form. Checking the basic functions for the Date in the widget Form","","application.Samples.Form.DateOnFormTest","drillDown","The DrillDown test","Checking the url before the transition and after the transition/click on a special element"
"failed","Tue Mar 25 17:04:29 GMT 2025","Tue Mar 25 17:04:52 GMT 2025","22813","","Form. Checking the basic functions for the Percent in the widget Form","","application.Samples.Form.PercentOnFormTest","fieldLevelValidation","Required Message validation test for multiple fields","The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"failed","Tue Mar 25 17:01:40 GMT 2025","Tue Mar 25 17:02:00 GMT 2025","19914","","Form. Checking the basic functions for the Input in the widget Form","","application.Samples.Form.InputOnFormTest","businessException","Business Exception Validation Test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"failed","Tue Mar 25 16:50:23 GMT 2025","Tue Mar 25 16:50:46 GMT 2025","22515","","Form. Checking the basic functions for the Dictionary in the widget Form","","application.Samples.Form.DictionaryOnFormTest","edit","A test for setting a value in a field","The test sets the value in the field, and then checks the value in the field with what should be set"
"failed","Tue Mar 25 17:11:49 GMT 2025","Tue Mar 25 17:12:11 GMT 2025","21781","","Form. Checking the basic functions for the MultipleSelect in the widget Form","","application.Samples.Form.MultipleSelectOnFormTest","runtimeException","Run-time exception validation test","The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated"
"passed","Tue Mar 25 14:31:40 GMT 2025","Tue Mar 25 14:31:49 GMT 2025","9578","","Info. Checking the basic functions for the Input","","application.Samples.Info.InputOnInfoTest","drillDown","The DrillDown test","DrillDown is not available for InfoWidget."
"failed","Tue Mar 25 16:53:19 GMT 2025","Tue Mar 25 16:53:41 GMT 2025","21115","","Form. Checking the basic functions for the PickList in the widget Form","","application.Samples.Form.PickListOnFormTest","fieldLevelValidation","Required Message validation test for multiple fields","The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered"
"passed","Tue Mar 25 13:25:25 GMT 2025","Tue Mar 25 13:25:35 GMT 2025","10465","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","","application.Samples.Form.DateTimeWithSecondsOnFormTest","color","A test to get the field color value in Hex format","The test gets the value from the style attribute in RGB format, and then converts it to Hex format"
"passed","Tue Mar 25 14:33:40 GMT 2025","Tue Mar 25 14:33:52 GMT 2025","11854","","Info. Checking the basic functions for the Radio","","application.Samples.Info.RadioOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Tue Mar 25 14:41:38 GMT 2025","Tue Mar 25 14:41:48 GMT 2025","9365","","Info. Checking the basic functions for the DateTime","","application.Samples.Info.DateTimeOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Tue Mar 25 14:47:43 GMT 2025","Tue Mar 25 14:47:53 GMT 2025","10258","","Info. Checking the basic functions for the Money","","application.Samples.Info.MoneyOnInfoTest","drillDown","The DrillDown test","DrillDown is not available for InfoWidget."
"passed","Tue Mar 25 13:52:01 GMT 2025","Tue Mar 25 13:52:13 GMT 2025","12068","","Form. Checking the basic functions for the Radio in the widget Form","","application.Samples.Form.RadioOnFormTest","filtration","Filtering test","Filtering is not available for the Form widget"
