"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 14:17:02 GMT 2025","Wed Feb 19 14:17:11 GMT 2025","9381","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","drillDown","The DrillDown test","DrillDown is not available for InfoWidget."
"passed","Wed Feb 19 14:17:30 GMT 2025","Wed Feb 19 14:17:39 GMT 2025","9560","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","read","The test for getting the value from the field",""
"passed","Wed Feb 19 14:16:49 GMT 2025","Wed Feb 19 14:17:01 GMT 2025","12666","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","sorting","Sorting test","Sorting is not available for InfoWidget."
"passed","Wed Feb 19 14:17:49 GMT 2025","Wed Feb 19 14:17:59 GMT 2025","9865","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","placeholder","Test for getting the Placeholder value","The InfoWidget doesn't have a Placeholder."
"passed","Wed Feb 19 14:17:39 GMT 2025","Wed Feb 19 14:17:49 GMT 2025","9633","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","color","A test to get the field color value in Hex format","InfoWidget does not have a Hex field color for this type."
"passed","Wed Feb 19 14:17:20 GMT 2025","Wed Feb 19 14:17:30 GMT 2025","9346","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","readonly","A test to check the field for ""Read-only""","Info Widget is always read-only"
"passed","Wed Feb 19 14:17:11 GMT 2025","Wed Feb 19 14:17:20 GMT 2025","9370","","Checking the basic functions for the CheckBox","","application.Samples.Info.CheckboxOnInfoTest","filtration","Filtering test","Filtering is not available for InfoWidget."
