"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Getting the field color is not available","10203","A test to get the field color value in Hex format","","Fri Mar 28 13:04:42 UTC 2025","passed","Fri Mar 28 13:04:52 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","color"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10575","A test to get the field color value in Hex format","","Fri Mar 28 13:14:09 UTC 2025","passed","Fri Mar 28 13:14:20 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","color"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","13521","Confirmation Popup Validation Test","","Fri Mar 28 13:03:42 UTC 2025","passed","Fri Mar 28 13:03:56 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10784","Business Exception Validation Test","","Fri Mar 28 13:06:02 UTC 2025","passed","Fri Mar 28 13:06:13 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","businessException"
"","9845","A test to compare the source file with the downloaded one","","Fri Mar 28 13:46:33 UTC 2025","passed","Fri Mar 28 13:46:43 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","compare"
"The test gets the value from the placeholder attribute and returns it in String format","8584","Test for getting the Placeholder value","","Fri Mar 28 13:20:16 UTC 2025","passed","Fri Mar 28 13:20:25 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","placeholder"
"Sorting is not available for InfoWidget.","9623","Sorting test","","Fri Mar 28 13:44:10 UTC 2025","passed","Fri Mar 28 13:44:20 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","sorting"
"The test sets the characters in the field, and then returns a list of values that match or contain characters","15956","Character Matching test","","Fri Mar 28 13:17:40 UTC 2025","passed","Fri Mar 28 13:17:56 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","valuesInList"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","12424","Business Exception Validation Test","","Fri Mar 28 12:58:06 UTC 2025","passed","Fri Mar 28 12:58:19 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12445","Confirmation Popup Validation Test","","Fri Mar 28 13:09:35 UTC 2025","passed","Fri Mar 28 13:09:48 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
