"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The InfoWidget doesn't have a Placeholder.","9143","Test for getting the Placeholder value","","Wed Mar 05 12:47:55 UTC 2025","passed","Wed Mar 05 12:48:04 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"","5528","The test for getting the value from the field","","Wed Mar 05 12:48:22 UTC 2025","passed","Wed Mar 05 12:48:27 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"Sorting is not available for InfoWidget.","4814","Sorting test","","Wed Mar 05 12:48:27 UTC 2025","passed","Wed Mar 05 12:48:32 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
"Info Widget is always read-only","5631","A test to check the field for ""Read-only""","","Wed Mar 05 12:48:16 UTC 2025","passed","Wed Mar 05 12:48:22 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"DrillDown is not available for InfoWidget.","6158","The DrillDown test","","Wed Mar 05 12:48:04 UTC 2025","passed","Wed Mar 05 12:48:11 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"Filtering is not available for InfoWidget.","5561","Filtering test","","Wed Mar 05 12:48:11 UTC 2025","passed","Wed Mar 05 12:48:16 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5494","A test to get the field color value in Hex format","","Wed Mar 05 12:48:32 UTC 2025","passed","Wed Mar 05 12:48:38 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
