"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10309","The test for getting the value from the field","","Wed Mar 26 10:26:29 UTC 2025","failed","Wed Mar 26 10:26:39 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"Sorting is not available for InfoWidget.","10297","Sorting test","","Wed Mar 26 10:26:39 UTC 2025","failed","Wed Mar 26 10:26:50 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
"The InfoWidget doesn't have a Placeholder.","10304","Test for getting the Placeholder value","","Wed Mar 26 10:25:48 UTC 2025","failed","Wed Mar 26 10:25:58 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"DrillDown is not available for InfoWidget.","10315","The DrillDown test","","Wed Mar 26 10:25:58 UTC 2025","failed","Wed Mar 26 10:26:08 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"Filtering is not available for InfoWidget.","10316","Filtering test","","Wed Mar 26 10:26:08 UTC 2025","failed","Wed Mar 26 10:26:19 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"Info Widget is always read-only","10318","A test to check the field for ""Read-only""","","Wed Mar 26 10:26:19 UTC 2025","failed","Wed Mar 26 10:26:29 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10315","A test to get the field color value in Hex format","","Wed Mar 26 10:26:50 UTC 2025","failed","Wed Mar 26 10:27:00 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
