"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","12099","Business Exception Validation Test","","Fri Mar 28 12:42:16 UTC 2025","passed","Fri Mar 28 12:42:29 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"Sorting is not available for the Form widget","8763","Sorting test","","Fri Mar 28 12:54:19 UTC 2025","passed","Fri Mar 28 12:54:28 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","sorting"
"Sorting is not available for the Form widget","9670","Sorting test","","Fri Mar 28 13:07:54 UTC 2025","passed","Fri Mar 28 13:08:04 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","sorting"
"","8424","The test for getting the value from the field","","Fri Mar 28 13:32:09 UTC 2025","passed","Fri Mar 28 13:32:18 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","read"
"Getting the field color is not available","10146","A test to get the field color value in Hex format","","Fri Mar 28 12:48:54 UTC 2025","passed","Fri Mar 28 12:49:04 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","color"
"Filtering is not available for the Form widget","9653","Filtering test","","Fri Mar 28 13:08:24 UTC 2025","passed","Fri Mar 28 13:08:33 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","filtration"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12327","Confirmation Popup Validation Test","","Fri Mar 28 12:53:42 UTC 2025","passed","Fri Mar 28 12:53:55 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
"Filtering is not available for the Form widget","8797","Filtering test","","Fri Mar 28 13:21:57 UTC 2025","passed","Fri Mar 28 13:22:06 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"Info Widget is always read-only","10321","A test to check the field for ""Read-only""","","Fri Mar 28 13:26:02 UTC 2025","passed","Fri Mar 28 13:26:12 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","readonly"
"The test gets the value from the placeholder attribute and returns it in String format","11198","Test for getting the Placeholder value","","Fri Mar 28 13:01:32 UTC 2025","passed","Fri Mar 28 13:01:43 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","placeholder"
