"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","38615","Run-time exception validation test","","Mon Mar 31 13:56:15 UTC 2025","passed","Mon Mar 31 13:56:53 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","runtimeException"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","42328","Required Message validation test for multiple fields","","Mon Mar 31 13:49:36 UTC 2025","passed","Mon Mar 31 13:50:18 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidation"
"Filtering is not available for InfoWidget.","48355","Filtering test","","Mon Mar 31 14:11:02 UTC 2025","passed","Mon Mar 31 14:11:50 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","filtration"
"The test gets the value from the placeholder attribute and returns it in String format","39936","Test for getting the Placeholder value","","Mon Mar 31 14:00:01 UTC 2025","passed","Mon Mar 31 14:00:41 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","placeholder"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","65396","Required Message validation test for multiple fields","","Mon Mar 31 13:52:02 UTC 2025","passed","Mon Mar 31 13:53:07 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","fieldLevelValidation"
"Info Widget is always read-only","17912","A test to check the field for ""Read-only""","","Mon Mar 31 14:20:27 UTC 2025","passed","Mon Mar 31 14:20:45 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","readonly"
"The InfoWidget doesn't have a Placeholder.","19027","Test for getting the Placeholder value","","Mon Mar 31 14:20:27 UTC 2025","passed","Mon Mar 31 14:20:46 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","placeholder"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","39245","Confirmation Popup Validation Test","","Mon Mar 31 13:54:20 UTC 2025","passed","Mon Mar 31 13:54:59 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","confirm"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","42855","Required Message text Verification field test","","Mon Mar 31 13:56:15 UTC 2025","passed","Mon Mar 31 13:56:58 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","required"
"Sorting is not available for the Form widget","40765","Sorting test","","Mon Mar 31 14:07:32 UTC 2025","passed","Mon Mar 31 14:08:13 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","sorting"
