"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DrillDown is not available for InfoWidget.","8047","The DrillDown test","","Wed Mar 26 11:00:10 UTC 2025","passed","Wed Mar 26 11:00:18 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","7975","A test to get the field color value in Hex format","","Wed Mar 26 10:59:54 UTC 2025","passed","Wed Mar 26 11:00:02 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"Info Widget is always read-only","8040","A test to check the field for ""Read-only""","","Wed Mar 26 11:00:26 UTC 2025","passed","Wed Mar 26 11:00:34 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"Sorting is not available for InfoWidget.","7404","Sorting test","","Wed Mar 26 11:00:34 UTC 2025","passed","Wed Mar 26 11:00:42 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
"","11711","The test for getting the value from the field","","Wed Mar 26 10:59:43 UTC 2025","passed","Wed Mar 26 10:59:54 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"Filtering is not available for InfoWidget.","7648","Filtering test","","Wed Mar 26 11:00:18 UTC 2025","passed","Wed Mar 26 11:00:26 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"The InfoWidget doesn't have a Placeholder.","8013","Test for getting the Placeholder value","","Wed Mar 26 11:00:02 UTC 2025","passed","Wed Mar 26 11:00:10 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
