"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The InfoWidget doesn't have a Placeholder.","8917","Test for getting the Placeholder value","","Thu Mar 06 06:47:12 UTC 2025","passed","Thu Mar 06 06:47:21 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"Sorting is not available for InfoWidget.","8685","Sorting test","","Thu Mar 06 06:47:48 UTC 2025","passed","Thu Mar 06 06:47:57 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
"DrillDown is not available for InfoWidget.","8746","The DrillDown test","","Thu Mar 06 06:47:22 UTC 2025","passed","Thu Mar 06 06:47:30 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"Filtering is not available for InfoWidget.","8813","Filtering test","","Thu Mar 06 06:47:30 UTC 2025","passed","Thu Mar 06 06:47:39 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8719","A test to get the field color value in Hex format","","Thu Mar 06 06:47:04 UTC 2025","passed","Thu Mar 06 06:47:12 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"Info Widget is always read-only","8925","A test to check the field for ""Read-only""","","Thu Mar 06 06:47:39 UTC 2025","passed","Thu Mar 06 06:47:48 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"","12399","The test for getting the value from the field","","Thu Mar 06 06:46:51 UTC 2025","passed","Thu Mar 06 06:47:04 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
