"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the url before the transition and after the transition/click on a special element","9523","The DrillDown test","","Wed Mar 26 13:17:21 UTC 2025","passed","Wed Mar 26 13:17:31 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","drillDown"
"Sorting is not available for InfoWidget.","9793","Sorting test","","Wed Mar 26 14:09:49 UTC 2025","passed","Wed Mar 26 14:09:59 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","sorting"
"Info Widget is always read-only","9244","A test to check the field for ""Read-only""","","Wed Mar 26 13:56:04 UTC 2025","passed","Wed Mar 26 13:56:13 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","readonly"
"InfoWidget does not have a Hex field color for this type.","8392","A test to get the field color value in Hex format","","Wed Mar 26 13:53:05 UTC 2025","passed","Wed Mar 26 13:53:13 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","color"
"The test deletes the value by checking the autocomplete in a blank field","12269","Auto-completion test after cleaning","","Wed Mar 26 13:19:38 UTC 2025","passed","Wed Mar 26 13:19:50 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","nullable"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","12168","Required Message text Verification field test","","Wed Mar 26 14:12:39 UTC 2025","passed","Wed Mar 26 14:12:52 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","required"
"","11657","A test to check the options of the drop-down list","","Wed Mar 26 14:13:15 UTC 2025","passed","Wed Mar 26 14:13:27 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","options"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","9267","Required Message text Verification field test","","Wed Mar 26 13:31:24 UTC 2025","passed","Wed Mar 26 13:31:33 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","required"
"The test gets the value from the placeholder attribute and returns it in String format","11705","Test for getting the Placeholder value","","Wed Mar 26 13:29:49 UTC 2025","passed","Wed Mar 26 13:30:00 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","placeholder"
"Filtering is not available for the Form widget","11245","Filtering test","","Wed Mar 26 13:20:14 UTC 2025","passed","Wed Mar 26 13:20:25 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","filtration"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered.","10520","Required Message validation test for one field","","Wed Mar 26 13:40:53 UTC 2025","passed","Wed Mar 26 13:41:03 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","fieldLevelValidationAnnotation"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10710","Required Message validation test for multiple fields","","Wed Mar 26 13:35:10 UTC 2025","passed","Wed Mar 26 13:35:21 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidation"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9939","A test to get the field color value in Hex format","","Wed Mar 26 14:10:39 UTC 2025","passed","Wed Mar 26 14:10:49 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","color"
"Info Widget is always read-only","8663","A test to check the field for ""Read-only""","","Wed Mar 26 13:52:48 UTC 2025","passed","Wed Mar 26 13:52:57 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","readonly"
