"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Info Widget is always read-only","28470","A test to check the field for ""Read-only""","","Wed Apr 02 14:13:19 UTC 2025","passed","Wed Apr 02 14:13:47 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","readonly"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","18699","Confirmation Popup Validation Test","","Wed Apr 02 14:00:35 UTC 2025","passed","Wed Apr 02 14:00:54 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","26425","Run-time exception validation test","","Wed Apr 02 14:06:45 UTC 2025","passed","Wed Apr 02 14:07:11 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","runtimeException"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","17424","A test to get the field color value in Hex format","","Wed Apr 02 14:14:24 UTC 2025","passed","Wed Apr 02 14:14:41 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","color"
"DrillDown is not available for InfoWidget.","11828","The DrillDown test","","Wed Apr 02 14:21:25 UTC 2025","passed","Wed Apr 02 14:21:37 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","drillDown"
"","11754","The test for getting the value from the field","","Wed Apr 02 14:21:41 UTC 2025","passed","Wed Apr 02 14:21:53 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","read"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","20782","Required Message validation test for multiple fields","","Wed Apr 02 14:10:50 UTC 2025","passed","Wed Apr 02 14:11:11 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","17643","Confirmation Popup Validation Test","","Wed Apr 02 14:10:32 UTC 2025","passed","Wed Apr 02 14:10:50 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","19233","Run-time exception validation test","","Wed Apr 02 14:08:20 UTC 2025","passed","Wed Apr 02 14:08:40 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","runtimeException"
"DrillDown is not available for InfoWidget.","27298","The DrillDown test","","Wed Apr 02 14:19:05 UTC 2025","passed","Wed Apr 02 14:19:32 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","drillDown"
