"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the url before the transition and after the transition/click on a special element","10973","The DrillDown test","","Fri Mar 28 06:21:45 UTC 2025","passed","Fri Mar 28 06:21:56 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12056","Confirmation Popup Validation Test","","Fri Mar 28 06:29:20 UTC 2025","passed","Fri Mar 28 06:29:32 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9915","A test to get the field color value in Hex format","","Fri Mar 28 06:59:43 UTC 2025","passed","Fri Mar 28 06:59:53 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","color"
"The test sets the value in the field, and then checks the value in the field with what should be set","9901","A test for setting a value in a field","","Fri Mar 28 06:26:04 UTC 2025","passed","Fri Mar 28 06:26:14 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","edit"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10006","Required Message validation test for one field","","Fri Mar 28 06:40:24 UTC 2025","passed","Fri Mar 28 06:40:34 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidationAnnotation"
"Filtering is not available for the Form widget","9194","Filtering test","","Fri Mar 28 06:25:15 UTC 2025","passed","Fri Mar 28 06:25:24 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","filtration"
"","7868","The test for getting the value from the field","","Fri Mar 28 06:58:37 UTC 2025","passed","Fri Mar 28 06:58:45 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","read"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10315","Run-time exception validation test","","Fri Mar 28 06:26:54 UTC 2025","passed","Fri Mar 28 06:27:04 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","runtimeException"
"Filtering is not available for InfoWidget.","8131","Filtering test","","Fri Mar 28 07:09:26 UTC 2025","passed","Fri Mar 28 07:09:34 UTC 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10685","Run-time exception validation test","","Fri Mar 28 06:32:02 UTC 2025","passed","Fri Mar 28 06:32:12 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","runtimeException"
