"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Info Widget is always read-only","7996","A test to check the field for ""Read-only""","","Tue Mar 11 13:04:05 UTC 2025","passed","Tue Mar 11 13:04:13 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"DrillDown is not available for InfoWidget.","8077","The DrillDown test","","Tue Mar 11 13:03:49 UTC 2025","passed","Tue Mar 11 13:03:57 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","11395","A test to get the field color value in Hex format","","Tue Mar 11 13:03:30 UTC 2025","passed","Tue Mar 11 13:03:41 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"The InfoWidget doesn't have a Placeholder.","7575","Test for getting the Placeholder value","","Tue Mar 11 13:03:41 UTC 2025","passed","Tue Mar 11 13:03:49 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"Filtering is not available for InfoWidget.","7641","Filtering test","","Tue Mar 11 13:03:57 UTC 2025","passed","Tue Mar 11 13:04:05 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"","7645","The test for getting the value from the field","","Tue Mar 11 13:04:13 UTC 2025","passed","Tue Mar 11 13:04:20 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"Sorting is not available for InfoWidget.","7355","Sorting test","","Tue Mar 11 13:04:20 UTC 2025","passed","Tue Mar 11 13:04:28 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
