"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","8345","Filtering test","","Thu Mar 27 05:25:34 UTC 2025","passed","Thu Mar 27 05:25:42 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","filtration"
"","11045","The test for getting the value from the field","","Thu Mar 27 05:23:00 UTC 2025","passed","Thu Mar 27 05:23:11 UTC 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","read"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","10821","Confirmation Popup Validation Test","","Thu Mar 27 04:53:07 UTC 2025","passed","Thu Mar 27 04:53:17 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","confirm"
"DrillDown is not available for InfoWidget.","8835","The DrillDown test","","Thu Mar 27 05:12:05 UTC 2025","passed","Thu Mar 27 05:12:14 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","drillDown"
"The test checks for the disabled attribute","8461","A test to check the field for ""Read-only""","","Thu Mar 27 04:39:07 UTC 2025","passed","Thu Mar 27 04:39:15 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","readonly"
"Filtering is not available for the Form widget","8501","Filtering test","","Thu Mar 27 05:04:11 UTC 2025","passed","Thu Mar 27 05:04:19 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"The InfoWidget doesn't have a Placeholder.","9852","Test for getting the Placeholder value","","Thu Mar 27 05:18:05 UTC 2025","passed","Thu Mar 27 05:18:15 UTC 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","placeholder"
"Filtering is not available for InfoWidget.","8175","Filtering test","","Thu Mar 27 05:13:43 UTC 2025","passed","Thu Mar 27 05:13:51 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","filtration"
"Sorting is not available for the Form widget","10943","Sorting test","","Thu Mar 27 04:43:34 UTC 2025","passed","Thu Mar 27 04:43:45 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","sorting"
"Checking the url before the transition and after the transition/click on a special element","9253","The DrillDown test","","Thu Mar 27 04:51:49 UTC 2025","passed","Thu Mar 27 04:51:58 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","drillDown"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10013","Required Message validation test for one field","","Thu Mar 27 04:39:15 UTC 2025","passed","Thu Mar 27 04:39:25 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotation"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","20139","Business Exception Validation Test","","Thu Mar 27 05:29:44 UTC 2025","failed","Thu Mar 27 05:30:04 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","businessException"
"The test sets the value in the field, and then checks the value in the field with what should be set","10891","A test for setting a value in a field","","Thu Mar 27 04:42:17 UTC 2025","passed","Thu Mar 27 04:42:28 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","edit"
"Info Widget is always read-only","9207","A test to check the field for ""Read-only""","","Thu Mar 27 05:09:13 UTC 2025","passed","Thu Mar 27 05:09:22 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","readonly"
"The test gets the value from the placeholder attribute and returns it in String format","8916","Test for getting the Placeholder value","","Thu Mar 27 04:54:33 UTC 2025","passed","Thu Mar 27 04:54:42 UTC 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","placeholder"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","10242","Required Message text Verification field test","","Thu Mar 27 04:52:17 UTC 2025","passed","Thu Mar 27 04:52:27 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","required"
"DrillDown is not available for InfoWidget.","7938","The DrillDown test","","Thu Mar 27 05:06:02 UTC 2025","passed","Thu Mar 27 05:06:10 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"Sorting is not available for InfoWidget.","10878","Sorting test","","Thu Mar 27 05:22:38 UTC 2025","passed","Thu Mar 27 05:22:49 UTC 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","sorting"
"The test gets the value from the placeholder attribute and returns it in String format","11253","Test for getting the Placeholder value","","Thu Mar 27 04:32:05 UTC 2025","passed","Thu Mar 27 04:32:16 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","placeholder"
"Sorting is not available for InfoWidget.","10231","Sorting test","","Thu Mar 27 05:20:15 UTC 2025","passed","Thu Mar 27 05:20:25 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","sorting"
"Filtering is not available for the Form widget","8144","Filtering test","","Thu Mar 27 04:51:07 UTC 2025","passed","Thu Mar 27 04:51:15 UTC 2025","","Form. Checking the basic functions for the Hint in the widget Form","application.Samples.Form.HintOnFormTest","filtration"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated.","10985","Confirmation Popup Validation Test","","Thu Mar 27 04:58:01 UTC 2025","passed","Thu Mar 27 04:58:12 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","confirm"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10136","Required Message validation test for one field","","Thu Mar 27 04:28:33 UTC 2025","passed","Thu Mar 27 04:28:43 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidationAnnotation"
