"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DrillDown is not available for InfoWidget.","5621","The DrillDown test","","Wed Mar 05 13:03:09 UTC 2025","passed","Wed Mar 05 13:03:15 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"","5583","The test for getting the value from the field","","Wed Mar 05 13:02:53 UTC 2025","passed","Wed Mar 05 13:02:59 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"The InfoWidget doesn't have a Placeholder.","5369","Test for getting the Placeholder value","","Wed Mar 05 13:03:04 UTC 2025","passed","Wed Mar 05 13:03:09 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5436","A test to get the field color value in Hex format","","Wed Mar 05 13:02:59 UTC 2025","passed","Wed Mar 05 13:03:04 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"Filtering is not available for InfoWidget.","5293","Filtering test","","Wed Mar 05 13:03:15 UTC 2025","passed","Wed Mar 05 13:03:20 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","filtration"
"Sorting is not available for InfoWidget.","5083","Sorting test","","Wed Mar 05 13:03:20 UTC 2025","passed","Wed Mar 05 13:03:25 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","sorting"
"Info Widget is always read-only","11362","A test to check the field for ""Read-only""","","Wed Mar 05 13:02:42 UTC 2025","passed","Wed Mar 05 13:02:53 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
