"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sorting is not available for InfoWidget.","8547","Sorting test","","Fri Mar 28 19:52:05 UTC 2025","passed","Fri Mar 28 19:52:13 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","sorting"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10466","Run-time exception validation test","","Fri Mar 28 19:09:05 UTC 2025","passed","Fri Mar 28 19:09:15 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","runtimeException"
"Getting the field color is not available","9954","A test to get the field color value in Hex format","","Fri Mar 28 19:01:40 UTC 2025","passed","Fri Mar 28 19:01:50 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","color"
"The test checks for the disabled attribute","10743","A test to check the field for ""Read-only""","","Fri Mar 28 19:12:31 UTC 2025","passed","Fri Mar 28 19:12:42 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","readonly"
"Filtering is not available for InfoWidget.","8248","Filtering test","","Fri Mar 28 19:38:23 UTC 2025","passed","Fri Mar 28 19:38:31 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","filtration"
"The test sets the value in the field, and then checks the value in the field with what should be set","10117","A test for setting a value in a field","","Fri Mar 28 19:17:59 UTC 2025","passed","Fri Mar 28 19:18:09 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","edit"
"DrillDown is not available for InfoWidget.","8238","The DrillDown test","","Fri Mar 28 19:41:49 UTC 2025","passed","Fri Mar 28 19:41:58 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","drillDown"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","11456","Confirmation Popup Validation Test","","Fri Mar 28 19:11:22 UTC 2025","passed","Fri Mar 28 19:11:33 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","confirm"
"The test opens a modal window, clears the field, closes the window, and then checks the message under the field.","10679","Required Message text Verification field test","","Fri Mar 28 19:25:45 UTC 2025","passed","Fri Mar 28 19:25:56 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","required_2"
"A test to get the value from the field. MultiValueHover is always read-only, so it is impossible to set the value","10396","A test for setting a value in a field","","Fri Mar 28 19:01:30 UTC 2025","passed","Fri Mar 28 19:01:40 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","edit"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10423","Required Message validation test for one field","","Fri Mar 28 19:27:45 UTC 2025","passed","Fri Mar 28 19:27:55 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","fieldLevelValidationAnnotation"
"A test to get the value from the field. Hint is always read-only, so it is impossible to set the value.","8145","A test to check the value in a field","","Fri Mar 28 19:19:46 UTC 2025","passed","Fri Mar 28 19:19:54 UTC 2025","","Form. Checking the basic functions for the Hint in the widget Form","application.Samples.Form.HintOnFormTest","edit"
"DrillDown is not available for InfoWidget.","10616","The DrillDown test","","Fri Mar 28 19:49:26 UTC 2025","passed","Fri Mar 28 19:49:37 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","drillDown"
"Checking the url before the transition and after the transition/click on a special element","8376","The DrillDown test","","Fri Mar 28 19:07:10 UTC 2025","passed","Fri Mar 28 19:07:19 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","drillDown"
"The test gets the value from the placeholder attribute and returns it in String format","9837","Test for getting the Placeholder value","","Fri Mar 28 19:28:38 UTC 2025","passed","Fri Mar 28 19:28:48 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","placeholder"
