"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"InfoWidget does not have a Hex field color for this type.","40772","A test to get the field color value in Hex format","","Mon Mar 31 14:08:27 UTC 2025","passed","Mon Mar 31 14:09:08 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","color"
"The InfoWidget doesn't have a Placeholder.","27471","Test for getting the Placeholder value","","Mon Mar 31 14:00:28 UTC 2025","passed","Mon Mar 31 14:00:55 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","31664","A test to get the field color value in Hex format","","Mon Mar 31 13:44:14 UTC 2025","passed","Mon Mar 31 13:44:46 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","color"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","44683","A test to get the field color value in Hex format","","Mon Mar 31 14:03:12 UTC 2025","passed","Mon Mar 31 14:03:57 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","color"
"The test gets the value from the placeholder attribute and returns it in String format","34240","Test for getting the Placeholder value","","Mon Mar 31 13:50:52 UTC 2025","passed","Mon Mar 31 13:51:26 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","placeholder"
"DrillDown is not available for InfoWidget.","32738","The DrillDown test","","Mon Mar 31 14:02:46 UTC 2025","passed","Mon Mar 31 14:03:19 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","drillDown"
"The InfoWidget doesn't have a Placeholder.","9152","Test for getting the Placeholder value","","Mon Mar 31 14:15:33 UTC 2025","passed","Mon Mar 31 14:15:42 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","placeholder"
"Filtering is not available for the Form widget","54100","Filtering test","","Mon Mar 31 13:40:54 UTC 2025","passed","Mon Mar 31 13:41:49 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","filtration"
"Info Widget is always read-only","17681","A test to check the field for ""Read-only""","","Mon Mar 31 14:14:44 UTC 2025","passed","Mon Mar 31 14:15:01 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","51466","Business Exception Validation Test","","Mon Mar 31 14:03:56 UTC 2025","passed","Mon Mar 31 14:04:48 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","businessException"
"Filtering is not available for the Form widget","45593","Filtering test","","Mon Mar 31 13:58:01 UTC 2025","passed","Mon Mar 31 13:58:46 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"The test sets the value in the field, and then checks the value in the field with what should be set","51925","A test for setting a value in a field","","Mon Mar 31 13:44:40 UTC 2025","passed","Mon Mar 31 13:45:32 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","edit"
"The test sets all the values in the field, then checks the list with the expected value.","85639","Test to set all values in the field","","Mon Mar 31 14:12:01 UTC 2025","passed","Mon Mar 31 14:13:27 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","test_set_all"
"Info Widget is always read-only","11039","A test to check the field for ""Read-only""","","Mon Mar 31 14:15:00 UTC 2025","passed","Mon Mar 31 14:15:11 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","readonly"
"InfoWidget does not have a Hex field color for this type.","44473","A test to get the field color value in Hex format","","Mon Mar 31 14:06:23 UTC 2025","passed","Mon Mar 31 14:07:08 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","65484","Required Message validation test for multiple fields","","Mon Mar 31 13:46:13 UTC 2025","passed","Mon Mar 31 13:47:19 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","fieldLevelValidation"
"The test sets the value, after which the method returns the full list of value-status","55589","Test to get all values with the status","","Mon Mar 31 13:53:01 UTC 2025","passed","Mon Mar 31 13:53:57 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","getValues"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","47312","Required Message validation test for one field","","Mon Mar 31 13:53:06 UTC 2025","passed","Mon Mar 31 13:53:54 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidationAnnotation"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","62461","Required Message validation test for one field","","Mon Mar 31 13:42:41 UTC 2025","passed","Mon Mar 31 13:43:43 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","fieldLevelValidationAnnotation"
"The test sets the value in the field, and then checks the value in the field with what should be set. The Number Digits class is used for numbers with a fractional part.","71427","A test for entering numbers with a fractional part using the PercentDigits class","","Mon Mar 31 13:41:23 UTC 2025","passed","Mon Mar 31 13:42:34 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","digits"
"The test sets the value in the field, and then checks the value in the field with what should be set","38706","A test for setting a value in a field","","Mon Mar 31 13:44:13 UTC 2025","passed","Mon Mar 31 13:44:52 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","edit"
"Checking the url before the transition and after the transition/click on a special element","56540","The DrillDown test","","Mon Mar 31 13:56:18 UTC 2025","passed","Mon Mar 31 13:57:15 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","drillDown"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","67809","Confirmation Popup Validation Test","","Mon Mar 31 13:51:51 UTC 2025","passed","Mon Mar 31 13:52:59 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
"Checking the url before the transition and after the transition/click on a special element","83391","The DrillDown test","","Mon Mar 31 13:51:23 UTC 2025","passed","Mon Mar 31 13:52:46 UTC 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","drillDown"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","52943","Required Message validation test for one field","","Mon Mar 31 13:59:52 UTC 2025","passed","Mon Mar 31 14:00:45 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","fieldLevelValidationAnnotation"
