"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for InfoWidget.","10739","Filtering test","","Tue Apr 01 15:43:09 UTC 2025","passed","Tue Apr 01 15:43:20 UTC 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","filtration"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","11209","Required Message text Verification field test","","Tue Apr 01 14:55:00 UTC 2025","passed","Tue Apr 01 14:55:11 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","required"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9717","Run-time exception validation test","","Tue Apr 01 15:33:15 UTC 2025","passed","Tue Apr 01 15:33:24 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","runtimeException"
"Checking the url before the transition and after the transition/click on a special element","8191","The DrillDown test","","Tue Apr 01 15:52:18 UTC 2025","passed","Tue Apr 01 15:52:26 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","drillDown"
"The InfoWidget doesn't have a Placeholder.","8027","Test for getting the Placeholder value","","Tue Apr 01 15:45:57 UTC 2025","passed","Tue Apr 01 15:46:05 UTC 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","placeholder"
"Drill Down is not available for InfoWidget.","7728","The DrillDown test","","Tue Apr 01 15:34:25 UTC 2025","passed","Tue Apr 01 15:34:33 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","drillDown"
"DrillDown is not available for InfoWidget.","7717","The DrillDown test","","Tue Apr 01 15:33:32 UTC 2025","passed","Tue Apr 01 15:33:40 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10380","A test to get the field color value in Hex format","","Tue Apr 01 15:05:49 UTC 2025","passed","Tue Apr 01 15:06:00 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","color"
"Sorting is not available for InfoWidget.","10621","Sorting test","","Tue Apr 01 15:49:25 UTC 2025","passed","Tue Apr 01 15:49:36 UTC 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","sorting"
"The test checks for the disabled attribute","8132","A test to check the field for ""Read-only""","","Tue Apr 01 15:52:34 UTC 2025","passed","Tue Apr 01 15:52:42 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","readonly"
"","9505","The test for getting the value from the field","","Tue Apr 01 15:38:51 UTC 2025","passed","Tue Apr 01 15:39:00 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","read"
"Info Widget is always read-only","7968","A test to check the field for ""Read-only""","","Tue Apr 01 15:45:33 UTC 2025","passed","Tue Apr 01 15:45:41 UTC 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","readonly"
"The test gets the value from the placeholder attribute and returns it in String format","8733","Test for getting the Placeholder value","","Tue Apr 01 15:03:19 UTC 2025","passed","Tue Apr 01 15:03:28 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","placeholder"
"Checking the url before the transition and after the transition/click on a special element","10798","The DrillDown test","","Tue Apr 01 14:58:39 UTC 2025","passed","Tue Apr 01 14:58:50 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
"Sorting is not available for the Form widget","11107","Sorting test","","Tue Apr 01 14:58:28 UTC 2025","passed","Tue Apr 01 14:58:39 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","sorting"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10818","A test to get the field color value in Hex format","","Tue Apr 01 15:00:10 UTC 2025","passed","Tue Apr 01 15:00:21 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","color"
"Filtering is not available for InfoWidget.","9380","Filtering test","","Tue Apr 01 15:38:32 UTC 2025","passed","Tue Apr 01 15:38:42 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10094","Run-time exception validation test","","Tue Apr 01 15:03:49 UTC 2025","passed","Tue Apr 01 15:03:59 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","runtimeException"
"The test checks for the disabled attribute","8876","A test to check the field for ""Read-only""","","Tue Apr 01 15:02:21 UTC 2025","passed","Tue Apr 01 15:02:30 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","readonly"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","11933","Required Message validation test for multiple fields","","Tue Apr 01 14:53:46 UTC 2025","passed","Tue Apr 01 14:53:58 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","11539","Business Exception Validation Test","","Tue Apr 01 14:55:11 UTC 2025","passed","Tue Apr 01 14:55:23 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"The test gets the value from the placeholder attribute and returns it in String format","10309","Test for getting the Placeholder value","","Tue Apr 01 15:30:42 UTC 2025","passed","Tue Apr 01 15:30:52 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","placeholder"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","11082","Required Message text Verification field test","","Tue Apr 01 15:05:15 UTC 2025","passed","Tue Apr 01 15:05:26 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","required"
