"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","10269","Filtering test","","Thu Mar 27 09:29:55 UTC 2025","passed","Thu Mar 27 09:30:05 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","filtration"
"The test gets the value from the placeholder attribute and returns it in String format","9250","Test for getting the Placeholder value","","Thu Mar 27 09:23:14 UTC 2025","passed","Thu Mar 27 09:23:23 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","placeholder"
"Sorting is not available for the Form widget","10452","Sorting test","","Thu Mar 27 09:50:10 UTC 2025","passed","Thu Mar 27 09:50:20 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","sorting"
"The test sets the value in the field, and then checks the value in the field with what should be set","10940","A test for setting a value in a field","","Thu Mar 27 09:30:38 UTC 2025","passed","Thu Mar 27 09:30:49 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","edit"
"The InfoWidget doesn't have a Placeholder.","8099","Test for getting the Placeholder value","","Thu Mar 27 10:03:04 UTC 2025","passed","Thu Mar 27 10:03:12 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","placeholder"
"Getting the field color is not available","9840","A test to get the field color value in Hex format","","Thu Mar 27 09:21:28 UTC 2025","passed","Thu Mar 27 09:21:38 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","color"
"The test gets the value from the placeholder attribute and returns it in String format","9526","Test for getting the Placeholder value","","Thu Mar 27 09:38:31 UTC 2025","passed","Thu Mar 27 09:38:40 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","placeholder"
"The InfoWidget doesn't have a Placeholder.","10354","Test for getting the Placeholder value","","Thu Mar 27 10:11:01 UTC 2025","passed","Thu Mar 27 10:11:11 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","placeholder"
"Info Widget is always read-only","10050","A test to check the field for ""Read-only""","","Thu Mar 27 09:56:50 UTC 2025","passed","Thu Mar 27 09:57:00 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","readonly"
"The test checks for the disabled attribute","8346","A test to check the field for ""Read-only""","","Thu Mar 27 09:16:37 UTC 2025","passed","Thu Mar 27 09:16:45 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","readonly"
"","9406","Test to get the name of the downloaded file","","Thu Mar 27 10:02:05 UTC 2025","passed","Thu Mar 27 10:02:15 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"Sorting is not available for InfoWidget.","8035","Sorting test","","Thu Mar 27 09:55:32 UTC 2025","passed","Thu Mar 27 09:55:40 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","sorting"
"","9401","The test for getting the value from the field","","Thu Mar 27 10:12:21 UTC 2025","passed","Thu Mar 27 10:12:30 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","read"
"Info Widget is always read-only","9502","A test to check the field for ""Read-only""","","Thu Mar 27 10:12:11 UTC 2025","passed","Thu Mar 27 10:12:21 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","readonly"
"Checking the url before the transition and after the transition/click on a special element","11115","The DrillDown test","","Thu Mar 27 09:18:35 UTC 2025","passed","Thu Mar 27 09:18:46 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
"The test verifies that after clearing the field, it is empty","10029","The test for deleting a file from a field","","Thu Mar 27 09:38:11 UTC 2025","passed","Thu Mar 27 09:38:21 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","clear"
"The test gets the value from the placeholder attribute and returns it in String format","8860","Test for getting the Placeholder value","","Thu Mar 27 09:53:57 UTC 2025","passed","Thu Mar 27 09:54:06 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","placeholder"
"Checking the url before the transition and after the transition/click on a special element","9498","The DrillDown test","","Thu Mar 27 09:40:16 UTC 2025","passed","Thu Mar 27 09:40:25 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","drillDown"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","11074","Required Message text Verification field test","","Thu Mar 27 09:51:04 UTC 2025","passed","Thu Mar 27 09:51:15 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","required"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8574","A test to get the field color value in Hex format","","Thu Mar 27 09:17:35 UTC 2025","passed","Thu Mar 27 09:17:44 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","color"
"Filtering is not available for the Form widget","8726","Filtering test","","Thu Mar 27 09:42:26 UTC 2025","passed","Thu Mar 27 09:42:35 UTC 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8315","A test to get the field color value in Hex format","","Thu Mar 27 10:02:55 UTC 2025","passed","Thu Mar 27 10:03:04 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","color"
"DrillDown is not available for InfoWidget.","8984","The DrillDown test","","Thu Mar 27 10:00:52 UTC 2025","passed","Thu Mar 27 10:01:01 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","drillDown"
"The test sets the value in the field, and then checks the value in the field with what should be set","8661","A test for setting a value in a field","","Thu Mar 27 09:35:42 UTC 2025","passed","Thu Mar 27 09:35:50 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","edit"
"The test sets the value, after which the method returns the full list of value-status","11302","Test to get all values with the status","","Thu Mar 27 09:31:10 UTC 2025","passed","Thu Mar 27 09:31:21 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","getValues"
"Sorting is not available for the Form widget","9810","Sorting test","","Thu Mar 27 09:43:13 UTC 2025","passed","Thu Mar 27 09:43:23 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","sorting"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10149","Business Exception Validation Test","","Thu Mar 27 09:53:29 UTC 2025","passed","Thu Mar 27 09:53:39 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","businessException"
"Filtering is not available for InfoWidget.","8391","Filtering test","","Thu Mar 27 09:58:52 UTC 2025","passed","Thu Mar 27 09:59:01 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","filtration"
"DrillDown is not available for InfoWidget.","8586","The DrillDown test","","Thu Mar 27 09:58:44 UTC 2025","passed","Thu Mar 27 09:58:52 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","drillDown"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","11370","Business Exception Validation Test","","Thu Mar 27 09:12:30 UTC 2025","passed","Thu Mar 27 09:12:41 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","businessException"
"Filtering is not available for InfoWidget.","9740","Filtering test","","Thu Mar 27 09:59:54 UTC 2025","passed","Thu Mar 27 10:00:04 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","filtration"
"Filtering is not available for the Form widget","9296","Filtering test","","Thu Mar 27 09:37:12 UTC 2025","passed","Thu Mar 27 09:37:21 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","filtration"
"The test gets the value from the placeholder attribute and returns it in String format","9997","Test for getting the Placeholder value","","Thu Mar 27 09:48:54 UTC 2025","passed","Thu Mar 27 09:49:04 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","placeholder"
"Info Widget is always read-only","9753","A test to check the field for ""Read-only""","","Thu Mar 27 10:00:04 UTC 2025","passed","Thu Mar 27 10:00:14 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","readonly"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","11165","Required Message text Verification field test","","Thu Mar 27 09:14:38 UTC 2025","passed","Thu Mar 27 09:14:49 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","required"
"Filtering is not available for InfoWidget.","9064","Filtering test","","Thu Mar 27 10:08:01 UTC 2025","passed","Thu Mar 27 10:08:10 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","filtration"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12203","Confirmation Popup Validation Test","","Thu Mar 27 09:15:35 UTC 2025","passed","Thu Mar 27 09:15:47 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","confirm"
"Checking the url before the transition and after the transition/click on a special element","9863","The DrillDown test","","Thu Mar 27 09:47:18 UTC 2025","passed","Thu Mar 27 09:47:28 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","drillDown"
"Filtering is not available for InfoWidget.","10121","Filtering test","","Thu Mar 27 09:56:40 UTC 2025","passed","Thu Mar 27 09:56:50 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10732","A test to get the field color value in Hex format","","Thu Mar 27 10:10:50 UTC 2025","passed","Thu Mar 27 10:11:01 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","color"
"","9932","The test for getting the value from the field","","Thu Mar 27 10:00:14 UTC 2025","passed","Thu Mar 27 10:00:24 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","read"
"The test gets the value from the placeholder attribute and returns it in String format","9147","Test for getting the Placeholder value","","Thu Mar 27 09:43:04 UTC 2025","passed","Thu Mar 27 09:43:13 UTC 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","placeholder"
"The InfoWidget doesn't have a Placeholder.","9783","Test for getting the Placeholder value","","Thu Mar 27 10:00:33 UTC 2025","passed","Thu Mar 27 10:00:43 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","placeholder"
"The test calls Popup, the method returns a list with column headings","9798","The test for getting column headings","","Thu Mar 27 09:42:07 UTC 2025","passed","Thu Mar 27 09:42:17 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","getColumnName"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12207","Confirmation Popup Validation Test","","Thu Mar 27 09:26:11 UTC 2025","passed","Thu Mar 27 09:26:23 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
"DrillDown is not available for InfoWidget.","9695","The DrillDown test","","Thu Mar 27 09:59:45 UTC 2025","passed","Thu Mar 27 09:59:54 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","drillDown"
